id,name,type,level,rarity,vendor_value
4,Assassin Transform Weapon,Weapon,0,Basic,0
6,((208738)),Weapon,0,Basic,0
15,Abomination Hammer,Weapon,0,Fine,0
24,Sealed Package of Snowballs,Consumable,0,Basic,0
33,PvP Heavy Helm of the Warrior,Armor,80,Exotic,0
46,Gladiator Weapon,Weapon,0,Basic,0
56,Strong Back Brace,Back,0,Basic,16
57,Hearty Back Brace,Back,0,Basic,16
58,Enduring Back Brace,Back,0,Basic,16
59,Berserkers Spineguard of Ruby,Back,80,Masterwork,132
60,Clerics Spineguard of Sapphire,Back,80,Masterwork,132
61,Rampagers Spineguard of Coral,Back,80,Masterwork,132
62,Shirt,Armor,0,Basic,0
63,Leggings,Armor,0,Basic,0
64,Boots,Armor,0,Basic,0
65,Shirt,Armor,0,Basic,0
68,Mighty Country Coat,Armor,0,Basic,6
69,Mighty Country Coat,Armor,0,Basic,7
70,Mighty Studded Coat,Armor,0,Basic,6
71,Mighty Worn Chain Greaves,Armor,6,Fine,11
72,Berserker's Sneakthief Mask of the Afflicted,Armor,62,Exotic,265
73,Berserker's Sneakthief Mask of Dwayna,Armor,70,Exotic,295
74,Mighty Worn Chain Greaves,Armor,11,Fine,16
75,Berserker's Sneakthief Mask of Strength,Armor,78,Exotic,320
76,Berserker's Seer Coat of the Flame Legion,Armor,62,Exotic,318
77,Mighty Studded Coat,Armor,0,Basic,7
78,Strong Worn Scale Boots,Armor,46,Fine,42
79,Berserker's Seer Coat of the Traveler,Armor,70,Exotic,354
80,Nika's Mask,Armor,80,Exotic,330
81,Mighty Studded Boots,Armor,0,Basic,4
82,Berserker's Seer Coat of the Afflicted,Armor,78,Exotic,384
83,Strong Worn Scale Boots,Armor,51,Fine,45
84,Zhed's Coat,Armor,80,Exotic,396
85,Carrion Seer Coat of Rage,Armor,63,Exotic,324
86,Carrion Sneakthief Mask of Grenth,Armor,63,Exotic,270
87,Strong Worn Scale Boots,Armor,56,Fine,49
88,Carrion Seer Coat of the Centaur,Armor,71,Exotic,354
89,Carrion Sneakthief Mask of Balthazar,Armor,71,Exotic,295
90,Berserker's Reinforced Scale Boots,Armor,61,Fine,52
91,Carrion Seer Coat of the Afflicted,Armor,79,Exotic,390
92,Carrion Sneakthief Mask of the Flame Legion,Armor,79,Exotic,325
93,Shiro's Mask,Armor,80,Exotic,330
94,Ogden's Coat,Armor,80,Exotic,396
95,Berserker's Reinforced Scale Boots,Armor,66,Fine,56
96,Rampager's Sneakthief Mask of the Citadel,Armor,64,Exotic,270
97,Rampager's Seer Coat of the Traveler,Armor,64,Exotic,324
98,Berserker's Reinforced Scale Boots,Armor,71,Fine,59
99,Mighty Studded Boots,Armor,0,Basic,5
100,Rampager's Seer Coat of Divinity,Armor,72,Exotic,360
101,Rampager's Sneakthief Mask of the Traveler,Armor,72,Exotic,300
102,Berserker's Reinforced Scale Boots,Armor,76,Fine,63
103,Aidan's Mask,Armor,80,Exotic,330
104,Norgu's Coat,Armor,80,Exotic,396
105,Shaman's Seer Coat of the Flame Legion,Armor,65,Exotic,330
106,Berserker's Sneakthief Coat of the Dolyak,Armor,62,Exotic,318
107,Shaman's Sneakthief Mask of the Grove,Armor,65,Exotic,275
108,Shaman's Seer Coat of Divinity,Armor,73,Exotic,366
109,Shaman's Sneakthief Mask of Melandru,Armor,73,Exotic,305
110,Berserker's Reinforced Scale Boots,Armor,80,Fine,66
111,Tahlkora's Coat,Armor,80,Exotic,396
112,Berserker's Sneakthief Coat of the Centaur,Armor,70,Exotic,354
113,Cleric's Seer Coat of the Eagle,Armor,66,Exotic,336
114,Mighty Worn Chain Greaves,Armor,16,Fine,20
115,Reyna's Mask,Armor,80,Exotic,330
116,Cleric's Sneakthief Mask of the Pack,Armor,66,Exotic,280
117,Cleric's Seer Coat of the Afflicted,Armor,74,Exotic,366
118,Mhenlo's Coat,Armor,80,Exotic,396
119,Berserker's Sneakthief Coat of Vampirism,Armor,78,Exotic,384
120,Strong Worn Chain Greaves,Armor,21,Fine,24
121,Cleric's Sneakthief Mask of Rage,Armor,74,Exotic,305
122,Seer Coat of Rage,Armor,75,Exotic,372
123,Zho's Mask,Armor,80,Exotic,330
125,Nika's Coat,Armor,80,Exotic,396
126,Strong Worn Chain Greaves,Armor,26,Fine,28
128,Berserker's Seer Coat of Rata Sum,Armor,76,Exotic,378
129,Strong Worn Scale Boots,Armor,31,Fine,31
130,Errol's Mask,Armor,80,Exotic,330
131,Khilbron's Coat,Armor,80,Exotic,396
132,Mighty Country Coat,Armor,6,Fine,17
133,Berserker's Sneakthief Mask of the Flame Legion,Armor,76,Exotic,315
134,Strong Worn Scale Boots,Armor,36,Fine,35
135,Mighty Country Coat,Armor,11,Fine,24
136,Vatlaaw's Mask,Armor,80,Exotic,330
137,Mighty Country Coat,Armor,16,Fine,30
138,Mighty Swindler Mask,Armor,11,Fine,20
139,Carrion Sneakthief Coat of Mercy,Armor,63,Exotic,324
140,Strong Worn Scale Boots,Armor,41,Fine,38
141,Mighty Swindler Mask,Armor,16,Fine,25
142,Precise Country Coat,Armor,7,Fine,18
143,Carrion Sneakthief Coat of the Dolyak,Armor,71,Exotic,354
144,Precise Country Coat,Armor,12,Fine,26
145,Precise Swindler Mask,Armor,12,Fine,22
146,Precise Country Coat,Armor,17,Fine,32
147,Precise Swindler Mask,Armor,17,Fine,27
148,Mighty Worn Chain Greaves,Armor,0,Basic,4
149,Vital Country Coat,Armor,8,Fine,20
150,Vital Country Coat,Armor,13,Fine,27
151,Carrion Sneakthief Coat of Hoelbrak,Armor,79,Exotic,390
152,Precise Worn Chain Greaves,Armor,7,Fine,12
153,Vital Swindler Mask,Armor,13,Fine,23
154,Vital Country Coat,Armor,18,Fine,33
155,Shiro's Coat,Armor,80,Exotic,396
156,Vital Swindler Mask,Armor,18,Fine,28
157,Malign Country Coat,Armor,9,Fine,21
158,Precise Worn Chain Greaves,Armor,12,Fine,17
159,Malign Swindler Mask,Armor,14,Fine,24
160,Malign Swindler Mask,Armor,19,Fine,29
161,Malign Country Coat,Armor,14,Fine,29
162,Berserker's Sneakthief Sandals of the Dolyak,Armor,62,Exotic,212
163,Malign Country Coat,Armor,19,Fine,35
164,Precise Worn Chain Greaves,Armor,17,Fine,21
165,Strong Country Coat,Armor,21,Fine,36
166,Strong Swindler Mask,Armor,21,Fine,30
167,Ravaging Worn Chain Greaves,Armor,22,Fine,25
168,Rampager's Sneakthief Coat of the Pack,Armor,64,Exotic,324
169,Strong Swindler Mask,Armor,26,Fine,35
170,Strong Country Coat,Armor,26,Fine,42
171,Berserker's Sneakthief Sandals of Dwayna,Armor,70,Exotic,236
172,Strong Magician Coat,Armor,31,Fine,47
173,Strong Swindler Mask,Armor,31,Fine,39
174,Strong Magician Coat,Armor,36,Fine,53
175,Ravaging Worn Chain Greaves,Armor,27,Fine,28
176,Strong Swindler Mask,Armor,36,Fine,44
177,Ravaging Country Coat,Armor,22,Fine,38
178,Rampager's Sneakthief Coat of Vampirism,Armor,72,Exotic,360
179,Ravaging Swindler Mask,Armor,22,Fine,32
180,Ravaging Country Coat,Armor,27,Fine,42
181,Ravaging Worn Scale Boots,Armor,32,Fine,32
182,Ravaging Swindler Mask,Armor,27,Fine,35
183,Aidan's Coat,Armor,80,Exotic,396
184,Ravaging Magician Coat,Armor,32,Fine,48
185,Ravaging Swindler Mask,Armor,32,Fine,40
186,Ravaging Magician Coat,Armor,37,Fine,53
187,Ravaging Worn Scale Boots,Armor,37,Fine,35
188,Berserker's Sneakthief Sandals of the Citadel,Armor,78,Exotic,256
189,Ravaging Swindler Mask,Armor,37,Fine,44
190,Honed Country Coat,Armor,23,Fine,39
191,Shaman's Sneakthief Coat of the Centaur,Armor,65,Exotic,330
192,Honed Country Coat,Armor,28,Fine,44
193,Ravaging Worn Scale Boots,Armor,42,Fine,39
194,Honed Swindler Mask,Armor,23,Fine,33
195,Honed Magician Coat,Armor,33,Fine,50
196,Shaman's Sneakthief Coat of the Centaur,Armor,73,Exotic,366
197,Honed Swindler Mask,Armor,28,Fine,37
198,Honed Magician Coat,Armor,38,Fine,54
199,Ravaging Worn Scale Boots,Armor,47,Fine,42
200,Honed Swindler Mask,Armor,33,Fine,42
201,Honed Swindler Mask,Armor,38,Fine,45
202,Ravaging Country Coat,Armor,24,Fine,39
203,Reyna's Coat,Armor,80,Exotic,396
204,Ravaging Country Coat,Armor,29,Fine,45
205,Ravaging Swindler Mask,Armor,24,Fine,33
206,Ravaging Worn Scale Boots,Armor,52,Fine,46
207,Ravaging Magician Coat,Armor,34,Fine,50
